,name,distance,mass,discovery_date,planet_type,planet_radius_in_unit,mass_of_hoststar.1,goldilock,gravity
144,EPIC 249893012 b,1058.0,8.75 Earths,2020,Super Earth,0.174,1.71,False,289.0077949530982
145,EPIC 249893012 c,1058.0,14.67 Earths,2020,Neptune-like,0.327,1.71,False,137.19383890244927
146,EPIC 249893012 d,1058.0,10.18 Earths,2020,Neptune-like,0.352,1.71,False,82.16038223140497
147,Epsilon Coronae Borealis b,228.0,6.7 Jupiters,2012,Gas Giant,,21.0,True,
148,Epsilon Eridani b,11.0,0.78 Jupiters,2000,Gas Giant,,,False,
149,Epsilon Indi A b,12.0,3.25 Jupiters,2019,Gas Giant,,,False,
150,Epsilon Tauri b,161.0,7.6 Jupiters,2006,Gas Giant,,13.7,True,
151,FU Tauri b,457.0,16 Jupiters,2008,Gas Giant,,,False,
152,G 9-40 b,91.0,4.76 Earths,2019,Super Earth,0.181,0.31,False,145.29471017368212
153,Gamma 1 Leonis b,126.0,8.78 Jupiters,2009,Gas Giant,,31.88,True,
